Date,Forecast
2026-01-31,478774.5300769715
2026-02-28,483902.7460467331
2026-03-31,483380.7115105896
2026-04-30,483648.43337207206
2026-05-31,496137.43341879256
2026-06-30,505236.7329720019
2026-07-31,494738.7479333765
2026-08-31,507219.7363122691
2026-09-30,502654.5261387836
2026-10-31,501060.33203425637
2026-11-30,526114.1664995805
2026-12-31,517207.20917886
2027-01-31,522787.5161156371
2027-02-28,521787.8248704652
2027-03-31,532335.2415294272
2027-04-30,520089.6406681766
2027-05-31,539531.0980194926
2027-06-30,550844.8385696842
2027-07-31,533251.864989595
2027-08-31,548053.7679363261
2027-09-30,546846.2870395128
2027-10-31,544447.1961126138
2027-11-30,562389.7823247379
2027-12-31,558604.5482021321
2028-01-31,563509.3062847904
2028-02-29,563892.8456960788
2028-03-31,571941.5945868965
2028-04-30,562520.5814679585
2028-05-31,580392.6854095804
2028-06-30,591206.5680855089
2028-07-31,575215.120983249
2028-08-31,589493.1321560257
2028-09-30,587527.7229961086
2028-10-31,585310.3185603739
2028-11-30,604858.1014971099
2028-12-31,599916.7590501629
2029-01-31,604974.0063680913
2029-02-28,605045.3140529548
2029-03-31,613658.0783141422
2029-04-30,603599.4810706028
2029-05-31,621825.8295644193
2029-06-30,632752.5433768756
2029-07-31,616399.5894104117
2029-08-31,630795.8568062396
2029-09-30,629001.5320919931
2029-10-31,626743.1162121153
2029-11-30,645928.5638129213
2029-12-31,641248.185577805
2030-01-31,646271.0120441081
2030-02-28,646412.7986838236
2030-03-31,654898.249765536
2030-04-30,644983.5721141744
2030-05-31,663129.9582477064
2030-06-30,674031.20308983
2030-07-31,657759.8507794584
2030-08-31,672129.4246195072
2030-09-30,670296.4816230624
2030-10-31,668047.3231103115
2030-11-30,687314.55937518
2030-12-31,682575.2746185705
